,index,파일번호,왼쪽 광대뼈 수직 비율,오른쪽 광대뼈 수직 비율,왼쪽 눈썹 수직 비율,오른쪽 눈썹 수직 비율,왼쪽눈 수직 비율,오른쪽눈 수직 비율,입 수직 비율,입 수평 비율,왼눈 수평 비율,오른눈 수평 비율,왼눈 오른쪽 각도,왼눈 왼쪽 각도,오른눈 오른쪽 각도,오른눈 왼쪽 각도,입술 왼쪽 각도,입술 오른쪽 각도
852,1336,2784,0.5745925243984837,0.5767839617760636,0.14050381000626416,0.1533929977694741,0.0782727075428324,0.08084520834544434,0.07495316889958614,0.3876326448552972,0.22819916215405178,0.20766437214040512,33.111341960372044,52.125016348901795,63.434948822922024,36.86989764584405,26.565051177077976,0.0
853,1339,2789,0.5791471931397887,0.5588423834088341,0.17655613788661215,0.1767214784609008,0.07895830523185818,0.07903224778456783,0.09090909090909091,0.40540540540540543,0.20930232558139536,0.21059035204970739,31.26373169437744,45.0,47.72631099390625,31.26373169437744,28.300755766006375,0.0
854,1340,2790,0.5881084590728377,0.5741207228993521,0.15144563320384566,0.16238586255274184,0.06772854614785964,0.0636929755298482,0.11386818846191439,0.4016738142263493,0.24325212770525995,0.2092533924420837,26.565051177077976,45.0,53.13010235415595,26.565051177077976,22.3801350519596,0.0
855,1342,2793,0.5481425211905628,0.5574706096853748,0.18130943107347372,0.1858235365617916,0.057335076346148456,0.05876256184028356,0.09753196981883415,0.4513781161534127,0.20194809793050483,0.19991841729213894,26.565051177077976,45.0,45.0,25.34617594194674,28.300755766006375,8.130102354155952
856,1346,2804,0.536340755514463,0.5570860145311556,0.16939422832878556,0.15515434001588377,0.08035073760083702,0.057035869730496076,0.12345172438335528,0.3918587749335031,0.19264838972038067,0.25886349545339626,40.60129464500443,71.56505117707798,32.471192290848506,26.565051177077976,36.46923439005184,0.0
857,1347,2805,0.5590169943749475,0.5543975184637852,0.15,0.15187933259934655,0.05590169943749475,0.07895830523185818,0.09302325581395349,0.4513781161534127,0.22213653792282628,0.194369470682473,25.34617594194671,32.471192290848535,60.25511870305775,37.874983651098205,25.55996517182382,9.462322208025626
858,1349,2809,0.5196854747832865,0.5391389233955599,0.1350858067395748,0.14158481769380435,0.03820803599504351,0.03926856307863329,0.125,0.4060517809103758,0.1891891891891892,0.1891891891891892,14.036243467926482,18.434948822922024,18.434948822922024,14.03624346792651,27.474431626277124,0.0
859,1350,2811,0.5457910193962568,0.5665577237325317,0.1641593385084117,0.16666666666666666,0.05397525801500045,0.06211299937499416,0.0768978023776524,0.4664076232569387,0.21427478217774168,0.21427478217774168,26.565051177077976,36.86989764584405,45.0,26.565051177077976,28.300755766006375,0.0
860,1352,2821,0.5501053839153041,0.549527249569848,0.12432935432634445,0.15732919388188818,0.054522028623592754,0.04975185951049946,0.09081532183729997,0.4117647058823529,0.21781931841425947,0.1891201294354047,26.565051177077976,32.471192290848535,53.13010235415595,22.61986494804046,25.709953780811247,0.0
861,1353,2822,0.5420917264917955,0.5731205399256526,0.1714244556447112,0.18011440898609973,0.05879810320378547,0.06368005999173917,0.11977980754514664,0.3333333333333333,0.1757906384836575,0.25595503313356227,36.86989764584405,53.13010235415595,33.69006752597977,33.69006752597977,41.42366562500263,9.462322208025626
